date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:44	38257/38257	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:45%20GMT	https://www.e-obce.sk/spravy.html?strana=5	C:/My%20Web%20Sites/obce/web/html/spravy522f.html	(from https://www.e-obce.sk/)
12:34:44	38293/38293	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:45%20GMT	https://www.e-obce.sk/spravy.html?strana=6	C:/My%20Web%20Sites/obce/web/html/spravy72ca.html	(from https://www.e-obce.sk/)
12:34:44	38226/38226	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:45%20GMT	https://www.e-obce.sk/spravy.html?strana=7	C:/My%20Web%20Sites/obce/web/html/spravya400.html	(from https://www.e-obce.sk/)
12:34:44	31926/31926	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:46%20GMT	https://www.e-obce.sk/spravanova.html	C:/My%20Web%20Sites/obce/web/html/spravanova.html	(from https://www.e-obce.sk/)
12:34:45	35183/35183	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:46%20GMT	https://www.e-obce.sk/podujatia/divadlo,_opera,_tanec/483-uver_ponuka_medzi_jednotlivymi_zavazneho_a_fast.html	C:/My%20Web%20Sites/obce/web/html/483-uver_ponuka_medzi_jednotlivymi_zavazneho_a_fast.html	(from https://www.e-obce.sk/)
12:34:45	38306/38306	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:46%20GMT	https://www.e-obce.sk/obec/raznany/raznany.html	C:/My%20Web%20Sites/obce/web/html/raznany.html	(from https://www.e-obce.sk/)
12:34:45	35389/35389	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:46%20GMT	https://www.e-obce.sk/podujatia/spolocenske/631-ponuka_financovania_a_uver,_pravne_a_spolahlive.html	C:/My%20Web%20Sites/obce/web/html/631-ponuka_financovania_a_uver,_pravne_a_spolahlive.html	(from https://www.e-obce.sk/)
12:34:45	38209/38209	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:47%20GMT	https://www.e-obce.sk/obec/vysnakamenica/vysna-kamenica.html	C:/My%20Web%20Sites/obce/web/html/vysna-kamenica.html	(from https://www.e-obce.sk/)
12:34:45	35328/35328	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:47%20GMT	https://www.e-obce.sk/podujatia/divadlo,_opera,_tanec/747-vazne_pozicka_ponuka.html	C:/My%20Web%20Sites/obce/web/html/747-vazne_pozicka_ponuka.html	(from https://www.e-obce.sk/)
12:34:46	38368/38368	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:47%20GMT	https://www.e-obce.sk/obec/kostolanynadhornadom/kostolany-nad-hornadom.html	C:/My%20Web%20Sites/obce/web/html/kostolany-nad-hornadom.html	(from https://www.e-obce.sk/)
12:34:46	31564/31564	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:47%20GMT	https://www.e-obce.sk/pridat_podujatie.html	C:/My%20Web%20Sites/obce/web/html/pridat_podujatie.html	(from https://www.e-obce.sk/)
12:34:46	32155/32155	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:47%20GMT	https://www.e-obce.sk/infoshow.html?info=1066	C:/My%20Web%20Sites/obce/web/html/infoshow7f06.html	(from https://www.e-obce.sk/)
12:34:46	17896/17896	---M--	200	added ('OK')	image/jpeg	etag:%2245e8-5575cf0eeeada%22	https://www.e-obce.sk/obrazky/vyhlasenie1.jpg	C:/My%20Web%20Sites/obce/web/images/vyhlasenie1.jpg	(from https://www.e-obce.sk/)
